name,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
Prosperi Valerie,Luxembourg,,,33,17. 1. 1993,,,,,woman,right
Adamek Remigiusz,Poland,,,49,20. 1. 1977,,,-,1300,man,right
Gima Sebastian,Romania,,,23,17. 5. 2002,579,436,860,594,man,left
Ben Abdallah Skander,Tunisia,,,25,2. 10. 2000,,,-,2276,man,right
Blaker-Roenningen Erle,Norway,,,19,1. 1. 2007,,,,,woman,right
Francis Shannon,Bahamas,,,28,14. 6. 1997,,,,,man,right
An Hyeon Ji,South Korea,,,23,1. 1. 2003,,,,,woman,right
Ait Barhouch Mehdi,Morocco,,,46,22. 11. 1979,,,-,1518,man,right
Paalma Eva,Estonia,,,31,21. 12. 1994,-,934,-,691,woman,right
Arrua Jorge,Paraguay,,,41,30. 10. 1984,,,,,man,right
Babunski Lena,Serbia,,,27,12. 7. 1998,,,,,woman,right
Bradnam Karina,New Zealand,,,35,4. 8. 1990,,,,,woman,right
Cao Ngoc Lam,Viet Nam,,,21,1. 1. 2005,,,,,man,right
Simunyu Celine,Ireland,,,,,1455,788,929,393,woman,right
Rogozinska Dzik Stefania,Poland,,,24,7. 7. 2001,946,720,-,641,woman,right
Karatsev Aslan,Russia,185,85,32,4. 9. 1993,721,14,-,42,man,right
De las Casas Caceres Camila,Peru,,,,,,,,,woman,right
Gerald Gonzalez Jimar Geraldine,Chile,,,24,17. 1. 2002,762,728,536,532,woman,right
Varese Shakira,Kenya,,,,,,,,,woman,right
Bemelmans Ruben,Belgium,183,75,38,14. 1. 1988,-,84,-,128,man,left
Ejaz Usman,Pakistan,,,38,13. 4. 1987,,,,,man,right
Leung Chui Kei,Hong Kong,,,22,23. 6. 2003,,,-,1320,woman,right
Pareja Julieta,USA,,,17,18. 2. 2009,330,317,1509,1469,woman,right
Novansky Michal,Slovakia,,,23,19. 8. 2002,1310,1173,2460,1121,man,right
Aboderin Kola,Nigeria,,,41,3. 3. 1985,,,,,man,right
Aher Salsa,India,,,24,12. 6. 2001,,,,,woman,right
Anderson Michelle,RSA,,,54,27. 1. 1972,,,,,woman,right
Vedder Eva,Netherlands,,,26,23. 11. 1999,257,209,269,110,woman,right
De Alba Valdes Rafael Alfonso,Mexico,,,,,1101,1020,704,598,man,right
Naegellen Elodie,Reunion,,,43,16. 8. 1982,,,,,woman,right
Eikeri Ulrikke,Norway,,,33,16. 12. 1992,-,206,38,26,woman,right
Makashin Sergei,Tajikistan,,,46,29. 8. 1979,,,,,man,right
Argyriou Mara,Cyprus,,,29,6. 11. 1996,,,,,woman,right
Chanprateep Akira,Thailand,,,25,14. 6. 2000,,,,,man,right
Andreeva Erika,Russia,,,21,24. 6. 2004,343,65,1133,274,woman,right
Arbet Adam,Slovakia,,,25,1. 1. 2001,,,,,man,
Tokuda Renta,Japan,178,69,27,29. 3. 1998,317,289,1317,436,man,right
Monteiro Thiago,Brazil,183,78,31,31. 5. 1994,232,61,-,74,man,left
Chen Kuan Yu,Chinese Taipei,,,25,9. 11. 2000,-,1471,,,man,right
Boosie Mehetia,Tahiti,,,19,1. 1. 2007,,,,,woman,right
Ban Ivan Karlo,Croatia,,,,,,,-,1977,man,right
Marangozyan Karen,Armenia,,,41,27. 5. 1984,,,,,man,right
Muhammedova Meryem,Turkmenistan,,,18,1. 1. 2008,,,,,woman,right
Pellegrino Andrea,Italy,185,81,28,23. 3. 1997,125,125,468,81,man,right
Barboza Marcelo,Uruguay,,,45,15. 7. 1980,-,581,-,615,man,right
Khachatryan Hrach,Armenia,,,27,6. 7. 1998,,,,,man,right
Baranes Daniel,Israel,,,14,18. 7. 2011,,,,,woman,right
Heredia Samuel,Colombia,,,19,7. 6. 2006,759,754,1048,767,man,right
Banicevic Marko,Croatia,,,21,1. 1. 2005,,,2357,1889,man,right
Solomon Matt,Seychelles,,,38,6. 1. 1988,,,,,man,right
Dmitruk Kristina,Belarus,,,22,25. 9. 2003,363,196,668,474,woman,right
Daye Patrick,Jamaica,,,44,28. 6. 1981,,,,,man,right
Alcaino Vergara Martina,Chile,,,21,1. 1. 2005,,,,,woman,right
Andrejic Marko,Austria,,,,,-,1193,-,1143,man,right
Moeller Marvin,Germany,178,69,27,18. 1. 1999,456,287,2543,604,man,right
Tay Caleb,Singapore,,,23,13. 7. 2002,,,,,man,right
Rawat Sidharth,India,175,70,32,21. 4. 1993,680,430,1667,461,man,right
Archiereev Vjaceslav,Czech Republic,,,42,15. 7. 1983,,,,,man,right
Camilloni Juan-Manuel,Uruguay,,,36,28. 12. 1989,,,,,man,right
Engevold Aleksander,Norway,,,40,3. 3. 1986,,,,,man,right
Lim Jenny,France,,,,,476,435,708,470,woman,right
Adriaanse Max Jan,Netherlands,,,23,1. 1. 2003,,,,,man,right
Doldan Heydi,Paraguay,,,25,29. 1. 2001,-,1035,-,1198,woman,right
Fakhry Mounir Issa,Senegal,,,40,19. 8. 1985,,,,,man,right
Audrins Stefans,Latvia,,,20,1. 1. 2006,,,,,man,right
Van Herck Louis,Luxembourg,,,26,2. 7. 1999,1429,1275,540,508,man,right
Dubinoviciute Patricija,Lithuania,,,22,16. 12. 2003,,,,,woman,right
Ritschard Alexander,Switzerland,193,82,31,24. 3. 1994,571,99,-,297,man,right
Lusti Oskar,Estonia,,,28,13. 11. 1997,-,1639,,,man,right
Golubovic Mia,Montenegro,,,27,2. 7. 1998,,,,,woman,right
Muamba Nicaise,Canada,185,85,25,28. 8. 2000,1325,601,1255,446,man,right
Akser Robin,Sweden,,,37,4. 10. 1988,,,,,man,right
Tremuth Sarah,Luxembourg,,,32,8. 2. 1994,,,,,woman,right
Airhunmwunde Osariemen,Nigeria,,,39,26. 9. 1986,,,-,1278,woman,right
Almas Anaam,India,,,25,12. 5. 2000,,,,,woman,right
Rajeshwaran Revathi Maaya,India,,,,,1060,642,725,724,woman,right
Mihailovic Aleksandar,Serbia,,,24,1. 1. 2002,1731,1700,-,2271,man,right
Daouk Lama,Lebanon,,,43,31. 8. 1982,,,,,woman,right
Salkova Dominika,Czech Republic,,,21,28. 6. 2004,131,129,141,138,woman,right
Yakhyaeva Gulnozakhon,Tajikistan,,,21,20. 3. 2004,,,,,woman,right
Rono Daniel,Kenya,,,36,22. 10. 1989,,,,,man,right
Baramidze Vladimer,Georgia,,,39,24. 9. 1986,,,,,man,right
Tudoreanu Roman,Moldavia,,,39,4. 3. 1987,-,702,-,803,man,right
Gakhov Ivan,Russia,191,80,29,4. 11. 1996,251,142,729,170,man,left
Bellina Dario,Venezuela,,,46,23. 4. 1979,,,,,man,right
Rosti Christian,San Marino,,,47,19. 11. 1978,,,,,man,right
Al Fardan Hamad,Bahrain,,,37,15. 5. 1988,,,,,man,right
Belan Martin,Slovakia,,,30,26. 7. 1995,,,,,man,right
Branks Adam,New Zealand,,,43,12. 1. 1983,,,,,man,right
Arshinkova Petia,Bulgaria,,,27,26. 4. 1998,-,476,-,565,woman,right
Bukary Amjad,Saudi Arabia,,,20,1. 1. 2006,,,,,man,right
Scurtu Jennifer,Moldavsko,,,19,1. 1. 2007,,,,,woman,right
Dominguez Matias,Uruguay,,,41,19. 1. 1985,,,,,man,right
Gurung Shivali,Nepal,,,,,,,,,woman,right
Bukajeva Diana,Latvia,,,34,16. 9. 1991,,,,,woman,right
Shevchenko Alexander,Kazakhstan,185,70,25,29. 11. 2000,88,45,-,406,man,right
Noordin Jawariah,Malaysia,,,35,8. 10. 1990,-,961,-,718,woman,right
Le Khanh Duy Tu,Viet Nam,,,23,3. 11. 2002,-,1519,-,2063,man,right
Lhuillier Sebastien,Philippines,,,,,,,,,man,right
Saritas Gokberk,Turkey,,,22,18. 7. 2003,1653,1088,570,385,man,right
Nayar Uma,Malaysia,,,26,7. 2. 2000,,,,,woman,left
Molder Markus,Estonia,,,20,10. 5. 2005,1166,1093,972,844,man,right
Ma Yexin,China,,,26,10. 6. 1999,186,177,482,187,woman,right
Takam Pessinsgo Guy Hyacintte,Cameroon,,,,,,,,,man,
Marques Diogo,Portugal,,,26,8. 8. 1999,1208,845,337,324,man,right
Matojan Julia,Estonia,,,40,10. 8. 1985,-,843,-,949,woman,right
Chow Ronald,Hong Kong,,,39,20. 2. 1987,,,,,man,left
Benaissa Yacine,Algeria,,,37,9. 10. 1988,,,,,man,right
Cooling Ruby,Great Britain,,,,,986,980,1083,969,woman,right
Foo-Kune Dylan Alec,Mauritius,,,29,8. 5. 1996,,,,,man,right
Holland Johnny,Bermuda,,,36,12. 9. 1989,,,,,man,right
Day Kayla,USA,,,26,28. 9. 1999,187,84,707,133,woman,left
Atay Selina,Turkey,,,24,20. 11. 2001,1076,1072,755,743,woman,right
Akkus Salih Can,Turkey,,,32,4. 12. 1993,,,,,man,right
Birnbaumer Hortencia,Bolivia,,,26,9. 1. 2000,-,1198,-,1132,woman,right
Winter Edward,Australia,,,21,15. 9. 2004,458,454,1208,275,man,right
Riera Julia,Argentina,,,23,29. 5. 2002,192,93,229,176,woman,right
Alvarado Paulo,Ecuador,,,34,25. 11. 1991,,,,,man,right
Albieri Gustavo,Brazil,,,,,1483,1437,1776,1745,man,right
Cruz Bonilla Sara Valentina,El Salvador,,,22,19. 5. 2003,,,,,woman,right
Bothwell Samuel,Ireland,,,28,21. 11. 1997,-,1699,-,905,man,right
Chin Chatrine,Malaysia,,,,,,,,,woman,
Assaf Moaz,Syria,,,29,27. 9. 1996,,,,,man,right
Ablovatchi Evghenia,Moldavia,,,44,28. 10. 1981,-,555,-,350,woman,right
Amado Quintero Weydi Lynn,Colombia,,,24,23. 2. 2002,,,,,woman,right
Bicknell Jacob,Jamaica,180,59,26,28. 5. 1999,,,,,man,right
Tanasie Lavinia,Romania,,,22,12. 12. 2003,688,494,1175,846,woman,right
Bae Sol,South Korea,,,34,17. 7. 1991,,,,,man,right
Petrovic Drazen,Bosnia and Herzeg.,,,23,3. 11. 2002,1790,1419,-,1501,man,right
Alipoe-Tchotchodji Kodjo Charles,Togo,,,,,,,,,man,right
Saner Julita,Sweden,,,26,29. 4. 1999,1051,763,1664,489,woman,right
Justo Guido Ivan,Argentina,,,28,17. 12. 1997,279,277,331,329,man,right
Kaler Havah Kaur,Canada,,,,,1455,1453,,,woman,right
Navarro Emma,USA,,,24,18. 5. 2001,25,8,1588,93,woman,right
Chan Duncan,Canada,,,20,29. 7. 2005,662,650,834,823,man,right
Borovnica Bojana,Yugoslavia,,,47,8. 4. 1978,-,905,-,667,woman,right
