rank,name,country_name,country_id,active,value,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
61,Marin Cilic,Croatia,CRO,False,181 km/h,Croatia,198.0,89.0,37.0,28. 9. 1988,51,3.0,-,42.0,man,right
63,Brandon Nakashima,United States,USA,False,180 km/h,USA,185.0,77.0,24.0,3. 8. 2001,30,29.0,514,141.0,man,right
66,Alejandro Tabilo,Chile,CHI,False,180 km/h,Chile,188.0,75.0,28.0,2. 6. 1997,40,19.0,304,106.0,man,left
67,Kamil Majchrzak,Poland,POL,False,180 km/h,Poland,180.0,78.0,30.0,13. 1. 1996,57,55.0,-,107.0,man,right
68,Gael Monfils,France,FRA,False,180 km/h,France,193.0,85.0,39.0,1. 9. 1986,148,6.0,-,11.0,man,right
71,Dennis Novak,Austria,AUT,False,179 km/h,Austria,183.0,80.0,32.0,28. 8. 1993,660,85.0,840,96.0,man,right
72,Sebastian Korda,United States,USA,False,179 km/h,USA,193.0,75.0,25.0,5. 7. 2000,37,15.0,102,46.0,man,right
74,Laslo Djere,Serbia,SRB,False,179 km/h,Serbia,188.0,82.0,30.0,2. 6. 1995,206,27.0,-,55.0,man,right
75,Alexander Shevchenko,Kazakhstan,KAZ,False,179 km/h,Kazakhstan,185.0,70.0,25.0,29. 11. 2000,88,45.0,-,406.0,man,right
76,Novak Djokovic,Serbia,SRB,False,179 km/h,Serbia,187.0,80.0,38.0,22. 5. 1987,3,1.0,-,1.0,man,right
78,Aleksandar Vukic,Australia,AUS,False,178 km/h,Australia,188.0,84.0,29.0,6. 4. 1996,89,48.0,577,195.0,man,right
80,Pedro Cachin,Argentina,ARG,False,178 km/h,Argentina,185.0,77.0,30.0,12. 4. 1995,908,48.0,-,219.0,man,right
81,Andrey Rublev,Russian Federation,RUS,False,178 km/h,Russia,188.0,70.0,28.0,20. 10. 1997,17,5.0,179,8.0,man,right
82,Jason Kubler,Australia,AUS,False,178 km/h,Australia,178.0,74.0,32.0,19. 5. 1993,217,63.0,77,27.0,man,right
83,Nuno Borges,Portugal,POR,False,178 km/h,Portugal,185.0,75.0,29.0,19. 2. 1997,49,30.0,145,69.0,man,right
